filename, GPS.Altitude, GPS.AltitudeRef, GPS.Latitude, GPS.LatitudeRef, GPS.Longitude, GPS.LongitudeRef
2014-10-16 16.29.27.jpg,2577,0,19.39673833333333,N,99.28177833333334,W
2014-10-16 16.29.28 HDR.jpg,2577,0,19.39673833333333,N,99.28177833333334,W
2014-10-16 17.36.15.jpg,2529.474576271186,0,19.39829166666667,N,99.28758833333333,W
2014-10-16 17.56.04.jpg,2605.963855421687,0,19.38557166666667,N,99.29396166666666,W
2014-10-16 17.56.08.jpg,2605.963855421687,0,19.38557166666667,N,99.29396166666666,W
2014-10-16 17.56.09 HDR.jpg,2605.963855421687,0,19.38557166666667,N,99.29396166666666,W
2014-10-16 17.56.40.jpg,2603.051282051282,0,19.385705,N,99.293525,W
2014-10-16 23.39.09.jpg,2249.65,0,19.40939166666667,N,99.17797166666666,W
2014-10-17 00.07.50.png,,,,,,
2014-10-17 01.15.47.jpg,2250,0,19.43038666666667,N,99.19674666666667,W
2014-10-17 01.40.44.jpg,2267.840425531915,0,19.43031333333333,N,99.196625,W
2014-10-17 01.40.49.jpg,2269.777777777778,0,19.43032,N,99.19660333333333,W
2014-10-17 01.41.07.jpg,2270.673469387755,0,19.43035833333333,N,99.19669500000001,W
2014-10-17 17.46.28.jpg,2604.642105263158,0,19.38548833333333,N,99.29329666666666,W
